name,selected,executions,jaccard,hamming,dice,kuncheva,canberra,spearman,pearson
Sensitivity,10,30,0.00486657256167238,0.9951334274383278,0.009195402298850575,0.008411289765057325,19.841798302326854,0.008364860549568611,-0.983814061237426
Sensitivity,20,30,0.00831483444913572,0.9916851655508643,0.016091954022988502,0.01453341126047146,39.43871295834323,0.014488271719178993,-0.9740933796087115
Sensitivity,50,30,0.01692395893583213,0.9830760410641678,0.03296551724137931,0.02912686019644989,97.03744357721784,0.029078714669138698,-0.9516673256115923
Sensitivity,100,30,0.023563719005600847,0.9764362809943992,0.04577011494252874,0.038164265388428056,191.34998138298744,0.03814548230416713,-0.9319654117617592
Sensitivity,200,30,0.03411059047571015,0.9658894095242899,0.06573563218390804,0.050722545765523146,373.5264471120865,0.05078576307771189,-0.9024845850988724
VAE,5,30,0.0005108556832694763,0.9994891443167305,0.0009195402298850575,0.0005243656156258554,9.989925503684448,0.00048082455692456737,-0.9978442396128021
VAE,10,30,0.0006049606775559588,0.999395039322444,0.0011494252873563218,0.00035894525038841725,19.970169897942537,0.0003179116674882099,-0.9968675516186954
VAE,20,30,0.0010610079575596818,0.9989389920424403,0.00206896551724138,0.0004882098789034125,39.87341776028279,0.00043945816445282505,-0.995380477607049
VAE,50,30,0.0019761300549477894,0.9980238699450523,0.003908045977011494,-4.5955110726630816e-05,99.29556246331215,-8.969721760721802e-05,-0.9927478467357418
VAE,100,30,0.0037545475825872835,0.9962454524174127,0.007448275862068965,-0.0004630243462678038,197.25023490543626,-0.0005099642558868266,-0.9884043776857427
VAE,200,30,0.007634654240195167,0.9923653457598048,0.015114942528735633,-0.0007115890070391444,388.9683784922553,-0.000770500901993449,-0.9797635365769095
