name,dataset,executions,feats,selected,jaccard,hamming,dice,kuncheva,spearman,canberra,pearson
Lasso,Prostate_GSE6919_U95C,10,12646,200,0.6587632052588066,0.34123679474119345,0.7934444444444444,0.7901252164907956,0.788594592573986,102.7136290063757,-0.4421413480167514
RandomForest,Prostate_GSE6919_U95C,30,12646,5,0.016119321291735086,0.9838806787082649,0.028505747126436783,0.028121483914320046,0.028075621310850785,9.80100333689539,-0.9218259826732693
RandomForest,Prostate_GSE6919_U95C,30,12646,10,0.016400167649233518,0.9835998323507664,0.030574712643678163,0.02980751947546328,0.029746235441554112,19.54067872231908,-0.8849567411078969
RandomForest,Prostate_GSE6919_U95C,30,12646,20,0.02131473998667337,0.9786852600133268,0.040459770114942534,0.038939826775983136,0.03888126446017483,38.71083231970914,-0.815641581132952
RandomForest,Prostate_GSE6919_U95C,30,12646,50,0.03174339281630026,0.9682566071836997,0.060551724137931036,0.056822570931111135,0.05681936643895738,94.96905309996808,-0.7326849336433536
RandomForest,Prostate_GSE6919_U95C,30,12646,100,0.03719732430521428,0.9628026756947856,0.07094252873563218,0.0635373201331743,0.06362510924014385,187.52290139851286,-0.688358011769171
RandomForest,Prostate_GSE6919_U95C,30,12646,200,0.03422121882692938,0.9657787811730707,0.06586206896551725,0.05085101431286606,0.05112705582668373,373.58010537584926,-0.6175032765428916
SVMRFE,Prostate_GSE6919_U95C,3,12646,5,0.0,1.0,0.0,-0.0003955383276639506,-0.0004232434258602253,9.996616354569074,
SVMRFE,Prostate_GSE6919_U95C,3,12646,10,0.017543859649122806,0.9824561403508771,0.03333333333333333,0.03256832330906405,0.03252500065638287,19.39613388461291,
SVMRFE,Prostate_GSE6919_U95C,3,12646,20,0.017094017094017092,0.982905982905983,0.03333333333333333,0.031802101483710855,0.03176930295647887,38.921996773281144,
SVMRFE,Prostate_GSE6919_U95C,3,12646,50,0.09128066574875084,0.9087193342512491,0.16666666666666666,0.16335873822377475,0.16322013583148184,85.42714262776941,
SVMRFE,Prostate_GSE6919_U95C,3,12646,100,0.10933704522503344,0.8906629547749665,0.19666666666666668,0.1902635634199479,0.190349458423306,166.60604098320115,
SVMRFE,Prostate_GSE6919_U95C,3,12646,200,0.15316212790278136,0.8468378720972186,0.265,0.25318897637795273,0.2536664618056186,310.714201006785,
Sensitivity,Prostate_GSE6919_U95C,30,12646,5,0.002554278416347382,0.9974457215836526,0.004597701149425287,0.0042039813887850795,0.004172789224436003,9.9658398868866,-0.9900802159891511
Sensitivity,Prostate_GSE6919_U95C,30,12646,10,0.0031726826645156955,0.9968273173354844,0.005977011494252874,0.005190351959189762,0.005153984283432913,19.90172381035503,-0.9866405781830903
Sensitivity,Prostate_GSE6919_U95C,30,12646,20,0.005807622504537205,0.9941923774954629,0.011264367816091955,0.009698177997964429,0.009648915817077244,39.59688851728249,-0.9793437630388563
Sensitivity,Prostate_GSE6919_U95C,30,12646,50,0.008919179387921451,0.9910808206120786,0.017517241379310346,0.013617262185039584,0.01358206671160201,98.25065535621917,-0.9681140701082288
Sensitivity,Prostate_GSE6919_U95C,30,12646,100,0.0150184618036666,0.9849815381963335,0.02942528735632184,0.021689158608962696,0.02166993666917708,193.86642741008927,-0.951447533874424
Sensitivity,Prostate_GSE6919_U95C,30,12646,200,0.02483232456478806,0.9751676754352119,0.04829885057471265,0.03300556519105063,0.03301345642133912,378.88564160637617,-0.9251965895787028
VAE,Prostate_GSE6919_U95C,30,12646,5,0.0005108556832694763,0.9994891443167305,0.0009195402298850575,0.0005243656156258554,0.0004781015481979903,9.989192756091825,-0.9974739611213973
VAE,Prostate_GSE6919_U95C,30,12646,10,0.0004839685420447671,0.9995160314579552,0.0009195402298850575,0.00012887826425501983,8.43346006216601e-05,19.970503544739735,-0.9967511909258036
VAE,Prostate_GSE6919_U95C,30,12646,20,0.0006483937518420277,0.999351606248158,0.0012643678160919542,-0.0003176623315144263,-0.00036481652861831786,39.89760654892495,-0.9959116768039223
VAE,Prostate_GSE6919_U95C,30,12646,50,0.001861922058966394,0.9981380779410335,0.00367816091954023,-0.00027675270018214117,-0.000319189882553563,99.31848631325114,-0.9927992453404461
VAE,Prostate_GSE6919_U95C,30,12646,100,0.0039064848635192925,0.9960935151364807,0.007747126436781608,-0.00016179173285985795,-0.00020903336801944293,197.21045753750923,-0.9881329699968501
VAE,Prostate_GSE6919_U95C,30,12646,200,0.0078439328839605,0.9921560671160394,0.01552873563218391,-0.00029114648846234104,-0.0003507795077936038,388.8238897004087,-0.9795371045703587
