name,dataset,executions,feats,selected,jaccard,hamming,dice,kuncheva,spearman,canberra,pearson
Lasso,Prostate_GSE6919_U95C,10,12646,5,0.06666666666666667,0.933333333333333,0.11555555555555556,0.11520572387908831,0.11520521037348165,9.169867488198843,-0.8616124331805534
Lasso,Prostate_GSE6919_U95C,10,12646,10,0.11203225929748116,0.8879677407025184,0.19555555555555548,0.1949189265238648,0.1949226286360258,17.069452107473477,-0.7713759955223068
Lasso,Prostate_GSE6919_U95C,10,12646,20,0.15688771008688446,0.843112289913115,0.2677777777777778,0.266617913652604,0.26665608118131023,31.726447135507797,-0.6675623661880873
Lasso,Prostate_GSE6919_U95C,10,12646,50,0.22129664804866078,0.7787033519513392,0.36000000000000004,0.35745951095585904,0.3576957310712011,71.66587828959877,-0.49323679537648346
Lasso,Prostate_GSE6919_U95C,10,12646,100,0.360549050164649,0.639450949835351,0.526888888888889,0.523117877322564,0.5226809765906859,105.39627844173735,-0.44422738474213047
Lasso,Prostate_GSE6919_U95C,10,12646,200,0.6548897530015937,0.3451102469984063,0.7904444444444445,0.7870770082311139,0.7858412749324912,107.04769840587419,-0.3283865720379175
RandomForest,Prostate_GSE6919_U95C,30,12646,5,0.0336343732895457,0.9663656267104543,0.05655172413793104,0.056178554184659134,0.05614250356933558,9.589392085931214,-0.8807947983030322
RandomForest,Prostate_GSE6919_U95C,30,12646,10,0.03498827641562775,0.9650117235843725,0.06206896551724138,0.061326696575738734,0.06129707986182701,19.080102913908068,-0.8270261695841412
RandomForest,Prostate_GSE6919_U95C,30,12646,20,0.03899004478165362,0.9610099552183464,0.07172413793103449,0.07025371838079059,0.07022994674896778,37.83189322816652,-0.7655783913632889
RandomForest,Prostate_GSE6919_U95C,30,12646,50,0.0532643435632422,0.9467356564367578,0.09935632183908047,0.09578120403120127,0.0958165118433178,92.11852408091553,-0.6866347474097616
RandomForest,Prostate_GSE6919_U95C,30,12646,100,0.058934670548678805,0.941065329451321,0.11018390804597702,0.10309147944758691,0.1032700614082867,181.79752205776447,-0.6384647503145171
RandomForest,Prostate_GSE6919_U95C,30,12646,200,0.05074642092589584,0.9492535790741041,0.09617241379310346,0.0816484287986169,0.08213875021028882,364.64245348249807,-0.5825630450100439
SVMRFE,Prostate_GSE6919_U95C,3,12646,5,0.08333333333333333,0.9166666666666666,0.13333333333333333,0.1329905334493579,0.13300433475628415,8.830315840964976,
SVMRFE,Prostate_GSE6919_U95C,3,12646,10,0.25356125356125353,0.7464387464387464,0.3666666666666667,0.3661654532024903,0.36618754592183067,13.842783388621077,
SVMRFE,Prostate_GSE6919_U95C,3,12646,20,0.19576719576719573,0.8042328042328042,0.31666666666666665,0.31558424415227837,0.3156944092603858,29.629239128441895,
SVMRFE,Prostate_GSE6919_U95C,3,12646,50,0.2501302286815648,0.7498697713184351,0.4000000000000001,0.3976182915211178,0.39787241897754116,68.00403820353809,
SVMRFE,Prostate_GSE6919_U95C,3,12646,100,0.29074690672914866,0.7092530932708513,0.44999999999999996,0.4456161326319146,0.4462920401261789,127.61506233022988,
SVMRFE,Prostate_GSE6919_U95C,3,12646,200,0.4053539053539053,0.5946460946460946,0.5766666666666667,0.5698639455782314,0.5710157192153454,208.73073088884055,
Sensitivity,Prostate_GSE6919_U95C,30,12646,5,0.0022988505747126436,0.9977011494252873,0.004137931034482759,0.0037440294171401764,0.003701436515567962,9.963550251846877,-0.9901854102871633
Sensitivity,Prostate_GSE6919_U95C,30,12646,10,0.005337097533104792,0.9946629024668953,0.010114942528735633,0.009331557709590916,0.009271258161985036,19.83058030649963,-0.9819450954547349
Sensitivity,Prostate_GSE6919_U95C,30,12646,20,0.009093527423835955,0.9909064725761642,0.017586206896551725,0.016030031079818874,0.015991600142193557,39.381768473274235,-0.9723274330931059
Sensitivity,Prostate_GSE6919_U95C,30,12646,50,0.015010385127418964,0.984989614872581,0.029241379310344824,0.025387939247270615,0.0253547717306541,97.31532018659239,-0.9548283090246523
Sensitivity,Prostate_GSE6919_U95C,30,12646,100,0.0239309326361891,0.9760690673638109,0.046413793103448286,0.03881307409422979,0.03878867299525376,191.21355416032756,-0.9319022513971426
Sensitivity,Prostate_GSE6919_U95C,30,12646,200,0.03327485171832062,0.9667251482816794,0.06413793103448276,0.049099170485462716,0.04917973274292769,374.0184968737141,-0.904119219700466
VAE,Prostate_GSE6919_U95C,30,12646,5,0.0,1.0,0.0,-0.0003955383276639506,-0.0004467331111935646,9.996428708693244,-0.997907702348388
VAE,Prostate_GSE6919_U95C,30,12646,10,0.0003629764065335753,0.9996370235934665,0.0006896551724137932,-0.00010118872187837752,-0.0001490671609600473,19.971569552831017,-0.9968883946116491
VAE,Prostate_GSE6919_U95C,30,12646,20,0.0007662835249042145,0.9992337164750958,0.0014942528735632185,-8.741312853790088e-05,-0.00012869149304351783,39.890181405218186,-0.9956478335735849
VAE,Prostate_GSE6919_U95C,30,12646,50,0.0018391898946467026,0.9981608101053533,0.003632183908045977,-0.0003229122180732434,-0.00036034470689497747,99.31684338811019,-0.9929502385462925
VAE,Prostate_GSE6919_U95C,30,12646,100,0.003981325762897471,0.9960186742371027,0.007885057471264367,-2.2761295902344458e-05,-5.294475208665755e-05,197.1631938526655,-0.9879657209094037
VAE,Prostate_GSE6919_U95C,30,12646,200,0.007565227432095487,0.9924347725679045,0.014977011494252875,-0.0008517365132314125,-0.0008854293074545045,389.0249550799055,-0.9799314969446478
