name,selected,executions,jaccard,hamming,dice,kuncheva,canberra,spearman,pearson,jaccard_std,kuncheva_std,spearman_std,pearson_std
IntegratedGradients,5,30,0.005619412515964241,0.9943805874840357,0.010114942528735633,0.009723405048523917,9.916521222494044,0.009670330145082645,-0.9804125790663616,,,,
IntegratedGradients,10,30,0.008267795926598103,0.991732204073402,0.01563218390804598,0.014853165376792451,19.74266002347997,0.014788769239931483,-0.9732013509971545,,,,
IntegratedGradients,20,30,0.010206772457226178,0.9897932275427739,0.019770114942528734,0.018217398508095863,39.33096168904228,0.018151069898550226,-0.9653411059037954,,,,
IntegratedGradients,50,30,0.013871671539862332,0.9861283284601376,0.027080459770114945,0.02321844190638882,97.54574812304523,0.02317819652702698,-0.952660724085007,,,,
IntegratedGradients,100,30,0.01965726300516839,0.9803427369948315,0.038321839080459774,0.030656621792722324,192.5674946437472,0.03064139174395705,-0.9353442489714708,,,,
IntegratedGradients,200,30,0.029200672037664698,0.9707993279623354,0.05655172413793104,0.04139105764488798,376.38550209419606,0.041443842782659404,-0.908333783565382,,,,
KruskallWallisFilter,5,10,0.06790123456790123,0.9320987654320986,0.11555555555555558,0.11520572387908831,9.096278608473039,0.1151857964046416,-0.8743363031883156,,,,
KruskallWallisFilter,10,10,0.08079730917708215,0.9192026908229176,0.14222222222222222,0.14154338574091657,17.748345054409924,0.14152706851000676,-0.8424084706225884,,,,
KruskallWallisFilter,20,10,0.10886945309196382,0.891130546908036,0.19111111111111115,0.18982980445993275,33.88598796080221,0.18982828068161853,-0.7825496037785721,,,,
KruskallWallisFilter,50,10,0.16592594773768907,0.8340740522623106,0.27955555555555556,0.27669574115239404,77.66473491771735,0.27684891505263176,-0.6506877465409231,,,,
KruskallWallisFilter,100,10,0.20654798733297813,0.7934520126670216,0.33866666666666667,0.33339539826770825,145.40844486263845,0.3338370414060949,-0.5390357918671547,,,,
KruskallWallisFilter,200,10,0.25108775503172764,0.7489122449682724,0.39755555555555555,0.3878746228150053,270.001043528336,0.38910154725563173,-0.3951139070617859,,,,
Lasso,5,10,0.027160493827160497,0.9728395061728397,0.04888888888888889,0.0485126879905774,9.615880519955398,0.04847300055285833,-0.9380638187856829,,,,
Lasso,10,10,0.043580629132744714,0.956419370867255,0.08000000000000002,0.07927192149414371,18.7222740331335,0.0792542794187808,-0.8860514570310118,,,,
Lasso,20,10,0.05734996612189595,0.9426500338781038,0.10666666666666666,0.10525159723322243,36.635720202834776,0.10525191975858499,-0.8301480262986423,,,,
Lasso,50,10,0.10745821310554522,0.8925417868944546,0.18977777777777777,0.18656158921703536,83.01099098983617,0.18639089639616452,-0.7595591715282244,,,,
Lasso,100,10,0.3851475331403395,0.6148524668596606,0.5519999999999999,0.5484291407619959,97.2236788991018,0.5473374597182981,-0.5836422677800504,,,,
Lasso,200,10,0.6587632052588066,0.34123679474119345,0.7934444444444444,0.7901252164907956,102.7136290063757,0.788594592573986,-0.4421413480167514,,,,
